ra,dec,X,Y,res_x,res_y
17:57:24.446,+04:36:08.11,1292.5,1651.1667,-1.0937e-04,6.2177e-04
17:57:29.108,+04:35:36.49,1354.5,1575.0,5.1111e-06,2.9796e-04
17:57:32.544,+04:35:31.50,1377.0,1513.0,9.2253e-05,2.2353e-04
17:57:34.962,+04:35:11.05,1415.5,1476.5,-1.4739e-04,-3.3077e-04
17:57:38.111,+04:35:12.71,1427.5,1416.5,1.4625e-04,-1.2499e-04
17:57:32.401,+04:34:48.69,1429.5,1528.5,2.0743e-04,1.0913e-04
17:57:30.349,+04:34:25.14,1450.5,1574.0,2.0063e-04,-2.6135e-04
17:57:24.988,+04:34:05.86,1449.0,1678.0,3.2246e-04,-1.6951e-04
17:57:21.537,+04:33:43.02,1460.5,1748.5,3.1389e-04,-5.7316e-05
17:57:34.667,+04:33:19.14,1549.9536,1516.6014,-2.3553e-04,-1.4228e-05
17:57:31.785,+04:32:49.36,1572.1035,1578.9755,-3.1371e-04,1.9526e-04
17:57:29.378,+04:32:08.04,1613.8482,1636.2772,-2.3957e-04,-2.8791e-04
17:57:51.826,+04:36:24.33,1404.5686,1144.4403,-3.2596e-04,-5.3394e-04
17:57:49.580,+04:42:24.63,949.9396,1071.7271,1.0291e-04,4.8466e-05
17:57:51.935,+04:42:20.59,966.5458,1029.9069,8.2802e-05,-1.1873e-04
17:57:54.496,+04:40:50.21,1088.1639,1012.347,-3.2186e-04,4.4531e-05
17:57:51.951,+04:40:27.62,1104.8391,1062.9849,3.9980e-04,5.2050e-05
17:58:10.833,+04:49:23.07,534.4945,552.3371,-2.0743e-04,1.1974e-04
17:58:16.400,+04:50:25.93,481.6455,430.0311,-2.0897e-04,4.7258e-04
17:58:21.586,+04:36:10.57,1558.5017,599.9235,-1.6861e-04,-2.4354e-04
17:57:18.900,+04:45:36.65,572.6328,1575.7567,4.0487e-04,-4.2736e-05
