Time(Julian date - 2460368.27),p,q,V [mag],V-mean [mag],V-err [mag]
0.0,1,3,11.41,11.83,0.42
0.007,1,3,11.41,11.87,0.42
0.014,2,3,11.74,11.96,0.43
0.021,2,2,11.96,12.05,0.43
0.028,2,2,11.96,12.15,0.44
0.035,2,2,11.96,12.22,0.44
0.042,3,2,12.19,12.27,0.44
0.049,3,2,12.19,12.35,0.45
0.056,4,1,12.63,12.41,0.45
0.062,4,1,12.63,12.46,0.44
0.069,4,1,12.63,12.49,0.44
0.076,4,0,13.07,12.53,0.45
0.083,4,0,13.07,12.6,0.46
0.09,4,0,13.07,12.65,0.45
0.097,4,0,13.07,12.7,0.46
0.104,4,0,13.07,12.73,0.46
0.111,4,0,13.07,12.75,0.46
0.118,4,0,13.07,12.7,0.47
0.125,4,0,13.07,12.54,0.46
0.132,2,1,12.33,12.27,0.47
0.139,1,3,11.41,12.0,0.46
0.146,0,4,10.86,11.91,0.48
